Player,POS,Team,Pass Yds,Pass TDs,INT,Rush Yds,Rush TDs,REC,Rec Yds,Rec TDs,Rookie,Bust%,FL,adp_standard,stdev_standard,adp_half,stdev_half,adp_ppr,stdev_ppr,adp_2qb,stdev_2qb,bye,playoff_sos_pctl,playoff_sos_label
Jayden Reed,WR,GB,0.1,0.0,0.0,70.7,0.3,56.2,740.4,4.1,False,,1.5,86.6,6.6,92.6,9.5,97.2,9.0,103.0,7.8,11.0,44.8,Neutral
Tyrone Tracy Jr.,RB,NYG,0.1,0.0,0.0,683.0,2.6,33.9,260.1,1.4,False,,1.5,156.3,14.1,160.2,16.5,155.8,15.1,160.5,22.3,8.0,55.2,Neutral
Andy Dalton,QB,PHI,2124.8,12.9,7.6,83.8,0.8,0.0,0.2,0.0,False,,1.5,,,,,,,,,,29.2,Tough
Tyrod Taylor,QB,GB,1876.8,13.2,8.7,171.7,1.1,0.1,0.2,0.0,False,,1.5,,,,,,,,,,56.2,Neutral
Sam LaPorta,TE,DET,0.1,0.0,0.0,0.7,0.0,62.6,723.6,5.1,False,,1.5,109.6,14.8,92.6,9.8,88.7,13.4,109.4,15.5,6.0,32.3,Tough
Kyle Monangai,RB,CHI,0.1,0.0,0.0,714.4,5.2,21.6,171.4,0.6,False,,1.5,91.3,11.1,99.6,11.8,100.3,11.3,110.2,11.1,10.0,50.0,Neutral
Tetairoa McMillan,WR,CAR,0.1,0.0,0.0,3.4,0.0,54.9,761.7,5.0,False,,1.5,37.6,3.8,36.6,3.4,34.4,3.9,53.5,6.1,5.0,33.3,Tough
DJ Moore,WR,BUF,1.4,0.6,0.0,67.0,0.3,54.3,650.2,5.1,False,,1.5,47.0,6.0,48.5,5.6,52.9,6.1,75.0,12.5,7.0,47.9,Neutral
Jordan Addison,WR,MIN,0.1,0.0,0.0,15.3,0.1,51.3,710.0,5.6,False,,1.5,79.9,5.2,91.3,9.4,103.3,8.5,99.1,8.2,6.0,77.1,Easy
Carnell Tate,WR,TEN,0.0,0.0,0.0,0.0,0.0,57.2,770.4,4.4,True,16.0,1.5,74.0,7.4,75.7,7.1,77.4,7.9,91.3,7.8,9.0,78.1,Easy
Brock Bowers,TE,LV,0.1,0.0,0.0,6.4,0.1,64.6,676.6,5.0,False,,1.5,53.5,13.1,46.3,10.3,41.1,8.1,63.1,15.3,13.0,70.8,Easy
Joe Milton III,QB,DAL,1764.7,10.9,6.6,170.3,1.7,0.1,0.4,0.0,False,,1.5,,,,,,,,,,54.2,Neutral
Josh Downs,WR,IND,0.1,0.0,0.0,10.0,0.0,65.4,694.3,4.1,False,,1.5,110.6,11.6,99.8,8.4,92.1,8.3,131.2,12.4,13.0,44.8,Neutral
